"continent","start_point","random","end_point","diversity"
"North America",2020.4,3,2021.4,NA
"Asia",2020.5,3,2021.5,1.32115283323029
"Africa",2020.5,3,2021.5,1.15914088741718
"Europe",2020.5,3,2021.5,1.09472202569828
"North America",2020.5,3,2021.5,NA
"Asia",2020.6,3,2021.6,1.56654704571206
"Africa",2020.6,3,2021.6,1.27037080490903
"Europe",2020.6,3,2021.6,1.13320971760592
"North America",2020.6,3,2021.6,NA
"Asia",2020.7,3,2021.7,1.56654704571206
"Africa",2020.7,3,2021.7,1.26323857049708
"Europe",2020.7,3,2021.7,1.15383795393474
"North America",2020.7,3,2021.7,NA
"Asia",2020.8,3,2021.8,1.53740704618814
"Africa",2020.8,3,2021.8,1.25475923690146
"Europe",2020.8,3,2021.8,1.16301022565649
"North America",2020.8,3,2021.8,NA
"Asia",2020.9,3,2021.9,1.62809141258627
"Africa",2020.9,3,2021.9,1.20844274571859
"Europe",2020.9,3,2021.9,1.57048938592025
"North America",2020.9,3,2021.9,NA
"Asia",2021,3,2022,1.46354939469706
"Africa",2021,3,2022,1.23210702641371
"Europe",2021,3,2022,1.38109104312654
"North America",2021,3,2022,NA
"Asia",2021.1,3,2022.1,1.74794221990888
"Africa",2021.1,3,2022.1,1.24332694833366
"Europe",2021.1,3,2022.1,1.48764979482348
"North America",2021.1,3,2022.1,1.10347568537426
"Asia",2021.2,3,2022.2,1.67089374809048
"Africa",2021.2,3,2022.2,1.16814831957896
"Europe",2021.2,3,2022.2,1.36081670648559
"North America",2021.2,3,2022.2,1.33782174929262
"Asia",2021.3,3,2022.3,1.67810561674883
"Africa",2021.3,3,2022.3,1.20909193106976
"Europe",2021.3,3,2022.3,1.33779253052631
"North America",2021.3,3,2022.3,1.50905029563303
"Asia",2021.4,3,2022.4,1.70948446536439
"Africa",2021.4,3,2022.4,1.24153791780805
"Europe",2021.4,3,2022.4,1.3209543662765
"North America",2021.4,3,2022.4,1.56273487845782
"Asia",2021.5,3,2022.5,1.72353160209189
"Africa",2021.5,3,2022.5,1.26402436358096
"Europe",2021.5,3,2022.5,1.35177835117405
"North America",2021.5,3,2022.5,1.53381632860672
"Asia",2021.6,3,2022.6,1.7213886641801
"Africa",2021.6,3,2022.6,1.18167670986051
"Europe",2021.6,3,2022.6,1.36156076660575
"North America",2021.6,3,2022.6,1.59715158450209
"Asia",2021.7,3,2022.7,1.71478185920347
"Africa",2021.7,3,2022.7,1.16297963351177
"Europe",2021.7,3,2022.7,1.36383282416923
"North America",2021.7,3,2022.7,1.57310143306517
"Asia",2021.8,3,2022.8,1.69617269161651
"Africa",2021.8,3,2022.8,1.17872086491122
"Europe",2021.8,3,2022.8,1.37213135258578
"North America",2021.8,3,2022.8,1.5661145836029
"Asia",2021.9,3,2022.9,1.67412271353
"Africa",2021.9,3,2022.9,1.17368635484769
"Europe",2021.9,3,2022.9,1.34737042221809
"North America",2021.9,3,2022.9,1.53710923281038
"Asia",2022,3,2023,1.37316416505642
"Africa",2022,3,2023,1.21138715268429
"Europe",2022,3,2023,1.28887439260019
"North America",2022,3,2023,1.47983816939629
"Asia",2022.1,3,2023.1,1.60815874343471
"Africa",2022.1,3,2023.1,1.13963848086567
"Europe",2022.1,3,2023.1,1.159668315055
"North America",2022.1,3,2023.1,1.55808199837575
"Asia",2022.2,3,2023.2,1.61422094764885
"Africa",2022.2,3,2023.2,1.25217764989098
"Europe",2022.2,3,2023.2,1.20728446548326
"North America",2022.2,3,2023.2,1.52583589878141
"Asia",2022.3,3,2023.3,1.40372201385199
"Africa",2022.3,3,2023.3,1.39276933889984
"Europe",2022.3,3,2023.3,1.32409475648833
"North America",2022.3,3,2023.3,1.4574624086755
"Asia",2022.4,3,2023.4,1.43981682264394
"Africa",2022.4,3,2023.4,1.39738424565012
"Europe",2022.4,3,2023.4,1.37514765092038
"North America",2022.4,3,2023.4,1.60102874208244
"Asia",2022.5,3,2023.5,1.5713021749563
"Africa",2022.5,3,2023.5,1.41828960581141
"Europe",2022.5,3,2023.5,1.33605724333537
"North America",2022.5,3,2023.5,1.51581401689968
"Asia",2022.6,3,2023.6,1.59795878361534
"Africa",2022.6,3,2023.6,1.42710337587342
"Europe",2022.6,3,2023.6,1.3386185767003
"North America",2022.6,3,2023.6,1.49217751896625
"Asia",2022.7,3,2023.7,1.59373024392648
"Africa",2022.7,3,2023.7,1.42710337587342
"Europe",2022.7,3,2023.7,1.34889755573555
"North America",2022.7,3,2023.7,1.46759667060816
"Asia",2022.8,3,2023.8,1.44702243968958
"Africa",2022.8,3,2023.8,1.43800500418934
"Europe",2022.8,3,2023.8,1.44084641538728
"North America",2022.8,3,2023.8,1.38543469065196
"Asia",2022.9,3,2023.9,1.17549925653013
"Africa",2022.9,3,2023.9,1.49489670405484
"Europe",2022.9,3,2023.9,1.45218330427328
"North America",2022.9,3,2023.9,1.26501562612173
"Asia",2023,3,2024,1.295119016495
"Africa",2023,3,2024,1.46378376913335
"Europe",2023,3,2024,1.41641069419933
"North America",2023,3,2024,1.3075149424772
"Asia",2023.1,3,2024.1,1.33798895931349
"Africa",2023.1,3,2024.1,1.45251963722474
"Europe",2023.1,3,2024.1,1.41104596996758
"North America",2023.1,3,2024.1,1.37870826138668
"Asia",2023.2,3,2024.2,1.33604997397841
"Africa",2023.2,3,2024.2,1.04984132789338
"Europe",2023.2,3,2024.2,1.26330418396976
"North America",2023.2,3,2024.2,1.34102866340736
"Asia",2023.3,3,2024.3,1.32067569919696
"Africa",2023.3,3,2024.3,1
"Europe",2023.3,3,2024.3,1.313232302645
"North America",2023.3,3,2024.3,1.33325827346638
"Asia",2023.4,3,2024.4,1.32067569919696
"Africa",2023.4,3,2024.4,1
"Europe",2023.4,3,2024.4,1.35789647745889
"North America",2023.4,3,2024.4,1.32562512330311
"Asia",2023.5,3,2024.5,1.31963579629107
"Africa",2023.5,3,2024.5,1
"Europe",2023.5,3,2024.5,1.42302195909668
"North America",2023.5,3,2024.5,1.32562512330311
"Asia",2020,4,2021,1.23904390800177
"Africa",2020,4,2021,1.27873075535956
"Europe",2020,4,2021,1.16890839077326
"North America",2020,4,2021,NA
"Asia",2020.1,4,2021.1,1.21676348692913
"Africa",2020.1,4,2021.1,1.13542518264668
"Europe",2020.1,4,2021.1,1.13704815337688
"North America",2020.1,4,2021.1,NA
"Asia",2020.2,4,2021.2,1.20658322954351
"Africa",2020.2,4,2021.2,1.0778567197828
"Europe",2020.2,4,2021.2,1.10732671000772
"North America",2020.2,4,2021.2,NA
"Asia",2020.3,4,2021.3,1.44695763765715
"Africa",2020.3,4,2021.3,1.34144136989345
"Europe",2020.3,4,2021.3,1.18306294435955
"North America",2020.3,4,2021.3,NA
"Asia",2020.4,4,2021.4,1.44609569032764
"Africa",2020.4,4,2021.4,1.23137721019545
"Europe",2020.4,4,2021.4,1.18050691173062
"North America",2020.4,4,2021.4,NA
"Asia",2020.5,4,2021.5,1.42808166814928
"Africa",2020.5,4,2021.5,1.06151614824384
"Europe",2020.5,4,2021.5,1.12532473124286
"North America",2020.5,4,2021.5,NA
"Asia",2020.6,4,2021.6,1.42808166814928
"Africa",2020.6,4,2021.6,1.14268960592973
"Europe",2020.6,4,2021.6,1.12710677950464
"North America",2020.6,4,2021.6,NA
"Asia",2020.7,4,2021.7,1.47358267855882
"Africa",2020.7,4,2021.7,1.14974056654984
"Europe",2020.7,4,2021.7,1.14126815392634
"North America",2020.7,4,2021.7,NA
"Asia",2020.8,4,2021.8,1.561608384345
"Africa",2020.8,4,2021.8,1.23982416180469
"Europe",2020.8,4,2021.8,1.15201718969444
"North America",2020.8,4,2021.8,NA
"Asia",2020.9,4,2021.9,1.64127069105233
"Africa",2020.9,4,2021.9,1.29859366292622
"Europe",2020.9,4,2021.9,1.52326182815609
"North America",2020.9,4,2021.9,NA
"Asia",2021,4,2022,1.7621900116199
"Africa",2021,4,2022,1.18642200332245
"Europe",2021,4,2022,1.44149561760031
"North America",2021,4,2022,1
"Asia",2021.1,4,2022.1,1.70256000592418
"Africa",2021.1,4,2022.1,1.20851707037909
"Europe",2021.1,4,2022.1,1.43001636945938
"North America",2021.1,4,2022.1,1
"Asia",2021.2,4,2022.2,1.5894477995171
"Africa",2021.2,4,2022.2,1.1867217178815
"Europe",2021.2,4,2022.2,1.35102775894433
"North America",2021.2,4,2022.2,1.41202186320694
"Asia",2021.3,4,2022.3,1.49393951925419
"Africa",2021.3,4,2022.3,1.172571645266
"Europe",2021.3,4,2022.3,1.3419894241475
"North America",2021.3,4,2022.3,1.53876534832635
"Asia",2021.4,4,2022.4,1.44913292704537
"Africa",2021.4,4,2022.4,1.19423786151006
"Europe",2021.4,4,2022.4,1.34615471669033
"North America",2021.4,4,2022.4,1.58993291824554
"Asia",2021.5,4,2022.5,1.44913292704538
"Africa",2021.5,4,2022.5,1.21174774334048
"Europe",2021.5,4,2022.5,1.34922618302399
"North America",2021.5,4,2022.5,1.59616639617161
"Asia",2021.6,4,2022.6,1.44913292704538
"Africa",2021.6,4,2022.6,1.15866347943187
"Europe",2021.6,4,2022.6,1.35252999054841
"North America",2021.6,4,2022.6,1.60041335037487
"Asia",2021.7,4,2022.7,1.55331820920752
"Africa",2021.7,4,2022.7,1.17585776890929
"Europe",2021.7,4,2022.7,1.33692176219297
"North America",2021.7,4,2022.7,1.57877803875728
"Asia",2021.8,4,2022.8,1.53882783307466
"Africa",2021.8,4,2022.8,1.18971872705657
"Europe",2021.8,4,2022.8,1.34155159563011
"North America",2021.8,4,2022.8,1.4926833384792
"Asia",2021.9,4,2022.9,1.38664921923021
"Africa",2021.9,4,2022.9,1.12055670622842
"Europe",2021.9,4,2022.9,1.14873885569301
"North America",2021.9,4,2022.9,1.29124883931831
"Asia",2022,4,2023,1.38641602203524
"Africa",2022,4,2023,1.07720307339565
"Europe",2022,4,2023,1.14091707422892
"North America",2022,4,2023,1.26337387247665
"Asia",2022.1,4,2023.1,1.42729484639468
"Africa",2022.1,4,2023.1,1.21931601892017
"Europe",2022.1,4,2023.1,1.14509078428361
"North America",2022.1,4,2023.1,1.51309977229817
"Asia",2022.2,4,2023.2,1.35300243677433
"Africa",2022.2,4,2023.2,1.26408894665485
"Europe",2022.2,4,2023.2,1.19616885937133
"North America",2022.2,4,2023.2,1.47855638934086
"Asia",2022.3,4,2023.3,1.34183674284476
"Africa",2022.3,4,2023.3,1.39276933889984
"Europe",2022.3,4,2023.3,1.33965452238969
"North America",2022.3,4,2023.3,1.49852535146718
"Asia",2022.4,4,2023.4,1.43544213842934
"Africa",2022.4,4,2023.4,1.46574017221057
"Europe",2022.4,4,2023.4,1.24690976735163
"North America",2022.4,4,2023.4,1.59726587522448
"Asia",2022.5,4,2023.5,1.43367204320875
"Africa",2022.5,4,2023.5,1.47398311969506
"Europe",2022.5,4,2023.5,1.26213725411573
"North America",2022.5,4,2023.5,1.60961744854168
"Asia",2022.6,4,2023.6,1.43225614906157
"Africa",2022.6,4,2023.6,1.48308488385071
"Europe",2022.6,4,2023.6,1.26906152790731
"North America",2022.6,4,2023.6,1.60799248185605
"Asia",2022.7,4,2023.7,1.42624190416748
"Africa",2022.7,4,2023.7,1.48308488385071
"Europe",2022.7,4,2023.7,1.2744383655025
"North America",2022.7,4,2023.7,1.51778528388496
"Asia",2022.8,4,2023.8,1.42398019245228
"Africa",2022.8,4,2023.8,1.45682985150832
"Europe",2022.8,4,2023.8,1.29375109638984
"North America",2022.8,4,2023.8,1.59967063796864
"Asia",2022.9,4,2023.9,1.37577947233482
"Africa",2022.9,4,2023.9,1.41520892198644
"Europe",2022.9,4,2023.9,1.2985068102254
"North America",2022.9,4,2023.9,1.4998593328144
"Asia",2023,4,2024,1.30285496399493
"Africa",2023,4,2024,1.25562203361162
"Europe",2023,4,2024,1.34515849597334
"North America",2023,4,2024,1.33496020848398
"Asia",2023.1,4,2024.1,1.29614184434604
"Africa",2023.1,4,2024.1,1.35613680318235
"Europe",2023.1,4,2024.1,1.32437221004154
"North America",2023.1,4,2024.1,1.6097315155566
"Asia",2023.2,4,2024.2,1.26067496971492
"Africa",2023.2,4,2024.2,1.04695411873775
"Europe",2023.2,4,2024.2,1.37258210846372
"North America",2023.2,4,2024.2,1.404818859596
"Asia",2023.3,4,2024.3,1.31665219930652
"Africa",2023.3,4,2024.3,1
"Europe",2023.3,4,2024.3,1.40716285758172
"North America",2023.3,4,2024.3,1.42125166642239
"Asia",2023.4,4,2024.4,1.31665219930652
"Africa",2023.4,4,2024.4,1
"Europe",2023.4,4,2024.4,1.45020472247307
"North America",2023.4,4,2024.4,1.40351458845249
"Asia",2023.5,4,2024.5,1.30586079918004
"Africa",2023.5,4,2024.5,1
"Europe",2023.5,4,2024.5,1.56161768653128
"North America",2023.5,4,2024.5,1.37578396631681
"Asia",2020,5,2021,1.37971347106629
"Africa",2020,5,2021,1.10352520807582
"Europe",2020,5,2021,1.21914048656483
"North America",2020,5,2021,NA
"Asia",2020.1,5,2021.1,1.52077820035221
"Africa",2020.1,5,2021.1,1.38745246927738
"Europe",2020.1,5,2021.1,1.33671125970209
"North America",2020.1,5,2021.1,NA
"Asia",2020.2,5,2021.2,1.51428543929788
