# BEAST v10.5.0
# Generated Thu Jan 29 15:27:36 GMT 2026 [seed=1769700455800]
# 2344b_global_n8_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N8_2019_R7_Africa)	age(H5N8_2019_R7_Africa)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
5290000	-6702.424514711259	-120.99085436386302	-6581.433660347396	13.817804574172717	2008.3438392614437	79.40379619529713	3.221639560465934	2018.9400042751504	4.620538654112808	8.261492344478489	7.191331392699639	0.3185840381333	0.16853880160790932	0.24616468261597887	0.26671247764281264	0.12892837384162747	1.543066258401065	0.3186011658079446	0.6813988341920574	0.47790174871191693	2.044196502576172	0.01825804025147928	5.445778049780746	0.007556727873053057	0.26981100432680943	-0.05139976292911969	-6581.433660347396	0.0	-234.82544140856476
5300000	-6683.542565604587	-103.96563684128921	-6579.576928763298	18.2652341602589	2003.8964096753575	89.11766872140424	3.279968231408823	2018.8816756042074	5.059666053789252	5.603522378724222	8.59690381699821	0.316703992610347	0.18043813667503142	0.2609153637335597	0.24194250698106268	0.193237985522305	2.036341965979786	0.31265068975209265	0.6873493102479094	0.46897603462813897	2.062047930743728	0.02402290887806523	7.643904157160908	0.006859949286331702	0.2740727525767809	0.04296693679508961	-6579.576928763298	0.0	-244.2876867916279
5310000	-6676.577273509899	-91.60222138542574	-6584.975052124473	16.596882045165952	2005.5647617904503	82.74005557141915	3.334513215510135	2018.8271306201061	4.024991015046868	6.006016039552277	6.945595075416912	0.32086941473954067	0.1835375551719885	0.24533396142359826	0.25025906866487335	0.16842971781192118	2.08805983364926	0.3268356339221852	0.673164366077817	0.49025345088327776	2.0194930982334514	0.022343344395353792	6.56903276718159	0.007393492497366189	0.2551280135540377	0.0842016374616824	-6584.975052124473	0.0	-233.5222356651279
5320000	-6699.674579028586	-103.7550841730095	-6595.919494855576	14.964844281630876	2007.1967995539856	83.06254926889964	3.176725399679837	2018.9849184359366	5.825573436902729	6.537193939286172	8.233385903619954	0.3226388875822326	0.17533125053728152	0.24697814988668954	0.255051711993797	0.016060727288247808	1.5726929804521326	0.2988384276274556	0.7011615723725464	0.4482576414411834	2.103484717117639	0.014850917581133556	4.990537394162701	0.006569104212409286	0.2669258249213504	-0.01203366694963921	-6595.919494855576	0.0	-247.5011598345829
5330000	-6688.980211677818	-99.50131142913932	-6589.478900248679	15.506931864864898	2006.6547119707514	80.47785482387447	3.202116636858198	2018.9595271987582	4.381814996985231	8.301767361266142	7.7208476533096055	0.3078814561802195	0.17450391081259772	0.26390544546710637	0.253709187540077	0.2285914157867887	2.204866902524403	0.3071048982265513	0.6928951017734509	0.46065734733982694	2.0786853053203527	0.026368729814249436	7.984666600842889	0.007861696282808273	0.2645529084963101	0.04123671558663197	-6589.478900248679	0.0	-232.26894021594575
5340000	-6692.790073454364	-109.3931677114985	-6583.396905742865	15.187635083133827	2006.9740087524826	83.68115694065341	3.2041556051004734	2018.957488230516	5.636344595926478	7.624686490520331	6.627087251941713	0.32047614535328167	0.16958756721856685	0.2387439552822281	0.2711923321459241	0.16183952151545314	1.9454188147720535	0.31000436426292416	0.689995635737078	0.4650065463943862	2.0699869072112342	0.03555239520760249	12.180647631458548	0.007190397352492128	0.3038677399278738	0.04444310359912152	-6583.396905742865	0.0	-242.37999207640112
5350000	-6704.065798104274	-126.16162813308306	-6577.904169971191	14.891114145034788	2007.2705296905815	80.31156760565239	3.1771621431259627	2018.9844816924904	4.587459786406897	4.936455783254495	9.540821243686445	0.3197775134791577	0.18161757251409655	0.2530437556963582	0.24556115831038827	0.18918635910058984	2.2445076105520627	0.3184745964890359	0.6815254035109661	0.4777118947335539	2.0445762105328984	0.03273317267121128	11.79873256074122	0.007660291297555062	0.33433637153823154	-0.03144129264922713	-6577.904169971191	0.0	-241.612935752465
5360000	-6687.8582329515575	-104.40131093921036	-6583.456922012348	18.189341081555302	2003.972302754061	87.20160680707254	3.177789145675681	2018.9838546899407	5.258086558865543	10.06102179125343	6.722469948348203	0.30844611039895004	0.17424885702772283	0.25113149183688194	0.2661735407364458	0.25493962545508697	2.86605534200315	0.29746608301507477	0.7025339169849271	0.4461991245226121	2.1076017509547813	0.027487024198029977	8.111420825127038	0.0074418372173142575	0.29204561412374247	-0.007693772363951403	-6583.456922012348	0.0	-236.1878161854267
5370000	-6710.523351853323	-136.6588898388881	-6573.864462014435	15.64629667638224	2006.5153471592341	82.80118733891194	3.368999561264717	2018.7926442743517	5.69441731591404	6.110909209857955	7.971748615925932	0.29958896473466645	0.18110596027354128	0.25493297304930496	0.2643721019424879	0.18311590107422235	2.726295212762658	0.33835243689383787	0.6616475631061636	0.5075286553407568	1.9849426893184907	0.021629445374693943	7.175117235236188	0.007495617385966323	0.33815277180397096	-0.051886155343642236	-6573.864462014435	0.0	-246.34782528800193
5380000	-6676.0895693947705	-104.10241609894277	-6571.987153295828	16.547079541837658	2005.6145642937788	83.91400674365673	3.165228041742829	2018.9964157938734	4.105027822885272	5.918078976854559	6.847663922031725	0.30527562869852515	0.16458912393949846	0.2739732537961602	0.2561619935658167	0.1482337620561743	1.5890400576854755	0.2712182311050351	0.7287817688949666	0.4068273466575527	2.1863453066849	0.019661317158325652	6.044096034141479	0.0075148277135292305	0.2629521203352788	-0.10248282876890095	-6571.987153295828	0.0	-236.7808626802746
5390000	-6705.537216046167	-121.81915082835113	-6583.718065217816	14.626619405653956	2007.5350244299625	83.0100284533029	3.0599522844803255	2019.1016915511361	4.599287326498495	8.174955420254774	8.257363208568947	0.3045333772988154	0.18869530168811177	0.2631124816299134	0.24365883938316002	0.14776826895454093	2.084435612870141	0.2900058156132113	0.7099941843867903	0.435008723419817	2.129982553160371	0.025434284551001014	8.255182590128546	0.007395159223350831	0.276823301342734	0.048578135047912745	-6583.718065217816	0.0	-247.31517947253465
5400000	-6720.954107761249	-150.04641661863124	-6570.907691142618	17.068705672938435	2005.092938162678	93.07294108951943	3.148267315606176	2019.0133765200103	6.071347680659055	6.742325251336735	7.764102029040507	0.29884465689461914	0.18525156599233997	0.2583833721383712	0.2575204049746703	0.22773703029408504	2.2207604152628484	0.32371812378280784	0.6762818762171939	0.48557718567421176	2.028845628651582	0.03601859260306341	14.197888778635674	0.007159191735820262	0.43638496187438097	0.0326980725113649	-6570.907691142618	0.0	-258.68699108126
