key,cluster_profile,segment,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,collection_regionname,host_simplifiedhost,prob_collection_regionname,prob_host_simplifiedhost,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal,col2,group2,Length_Between_First_Last_Sample
nx_91111111,9_1_1_1_1_1_1_1,nx,1,363,2,0.004326461,4.87097e-4,0.021241615,2022.60261,0.162131298,2023.630137,1.027527412,27.67498184,100.3917469,southern asia,other-bird,0.908152462,0.763234516,NA,NA,NA,NA,NA,NA,#E1BA1B,minor,0
nx_91615111,9_1_6_1_5_1_1_1,nx,1,363,2,0.004326461,4.87097e-4,0.021241615,2022.60261,0.162131298,2023.068493,0.465883576,27.67498184,100.3917469,southern asia,other-bird,0.908152462,0.763234516,NA,NA,NA,NA,NA,NA,#E2B815,minor,0
nx_11611111,1_1_6_1_1_1_1_1,nx,1,366,2,0.004366488,5.29232e-4,0.02109593,2022.408786,0.179469152,2022.460274,0.051487791,35.73467405,96.17004668,eastern asia,anseriformes-wild,1,0.998109641,NA,NA,NA,NA,NA,NA,#cbcc33,minor,0
nx_11_92113_111,11_9_2_1_13_1_1_1,nx,1,391,6,0.00424011,0.001000852,0.01147835,2023.702846,0.051810248,2023.90411,0.201263535,34.45688886,135.1356745,eastern asia,other-bird,1,0.547169811,NA,NA,NA,NA,NA,NA,#cc3352,minor,0
nx_2112_11111,2_1_12_1_1_1_1_1,nx,1,397,2,0.004002506,6.88848e-4,0.025601112,2022.603068,0.160420261,2023.19726,0.59419236,49.66775613,8.596357171,eastern asia,other-bird,0.994954591,0.635273013,NA,NA,NA,NA,NA,NA,#c9cc99,minor,0
nx_1112_11111,1_1_12_1_1_1_1_1,nx,6,400,6,0.004705556,8.56784e-4,0.023994519,2022.750249,0.146787382,2023.293151,0.54290214,41.20096681,134.6028863,eastern asia,other-bird,1,0.995444951,3782.831,3084.297,370122,366418.6,NA,NA,#99cca2,minor,0.348
nx_21116111,2_1_1_1_6_1_1_1,nx,14,412,51,0.004133218,5.84336e-4,0.014415876,2021.247474,0.293755995,2022.263014,1.015539499,35.00016374,120.6518477,eastern asia,anseriformes-wild,1,1,964.861,896.9246,21635.19,25163.72,NA,NA,#b4cc99,minor,0.271
nx_26146111,2_6_1_4_6_1_1_1,nx,1,431,2,0.004540832,9.13678e-4,0.019213816,2022.210749,0.200125814,2023.558904,1.348155174,0.367114821,116.3726993,south-eastern asia,anseriformes-wild,0.994889457,0.998111321,NA,NA,NA,NA,NA,NA,#9966cc,minor,0
nx_211151118,2_1_1_1_5_1_1_18,nx,1,435,2,0.004081552,8.58291e-4,0.013467262,2022.57412,0.165331533,2022.879452,0.305332333,35.93099147,137.1663677,eastern asia,anseriformes-wild,1,0.453757225,NA,NA,NA,NA,NA,NA,#66cc91,minor,0
nx_11_7116111,11_7_1_1_6_1_1_1,nx,1,437,2,0.004411656,8.11283e-4,0.023048747,2022.667709,0.152884178,2022.879452,0.211743061,34.37367486,131.093438,eastern asia,anseriformes-wild,1,0.747914736,NA,NA,NA,NA,NA,NA,#cc99c6,minor,0
nx_261161112,2_6_1_1_6_1_1_12,nx,1,437,2,0.004411656,8.11283e-4,0.023048747,2022.667709,0.152884178,2022.857534,0.189825252,34.37367486,131.093438,eastern asia,anseriformes-wild,1,0.747914736,NA,NA,NA,NA,NA,NA,#669ccc,minor,0
nx_26116116,2_6_1_1_6_1_1_6,nx,1,438,2,0.00541394,0.001093562,0.033525234,2022.875615,0.135095195,2023.117808,0.242193213,35.54612339,133.3457268,eastern asia,anseriformes-wild,1,0.662815243,NA,NA,NA,NA,NA,NA,#334fcc,minor,0
nx_21615111,2_1_6_1_5_1_1_1,nx,5,458,5,0.004984272,8.01796e-4,0.025490455,2021.617747,0.255609076,2022.093151,0.475403739,35.18578083,125.5364535,eastern asia,anseriformes-wild,1,0.997889123,423.7393,368.2031,4187.191,8078.021,NA,NA,#cc4d33,minor,0.145
nx_14_112_16111,14_1_12_1_6_1_1_1,nx,1,464,2,0.004627309,7.11241e-4,0.022926261,2021.628507,0.253216756,2021.972603,0.344095489,34.01049259,120.7965658,eastern asia,anseriformes-wild,1,0.980455188,NA,NA,NA,NA,NA,NA,#ccc966,minor,0
nx_29116111,2_9_1_1_6_1_1_1,nx,1,462,5,0.005481974,6.99971e-4,0.031701882,2021.499465,0.27043296,2023.369863,1.870397957,32.35861888,121.1952189,eastern asia,anseriformes-wild,1,0.997931748,NA,NA,NA,NA,NA,NA,#cc99c1,minor,0
nx_26111111,2_6_1_1_1_1_1_1,nx,2,467,2,0.005619113,0.001371081,0.023279027,2021.343436,0.285069746,2021.380822,0.037385489,31.79336461,88.35048406,eastern asia,anseriformes-wild,1,0.999333407,283.125,283.125,787.4861,787.4861,NA,NA,#ccc899,minor,0
nx_85111113,8_5_1_1_1_1_1_3,nx,1,473,2,0.005204152,9.47294e-4,0.030099919,2023.902452,0.199161372,2023.915068,0.012616679,55.96168751,-130.7772463,northern america,other-bird,1,0.979808178,NA,NA,NA,NA,NA,NA,#E1BB1E,minor,0
nx_211111111,2_1_1_1_1_1_1_11,nx,5,477,12,0.003624413,7.05121e-4,0.017141613,2022.710298,0.651464505,2023.873973,1.163674634,50.08526049,-64.15965328,northern america,anseriformes-wild,1,0.61187916,1796.371,1796.371,17701.02,17701.02,NA,NA,#33ccb9,major,0.945
nx_4414_111111,4_4_14_1_1_1_1_11,nx,5,480,8,0.005296822,0.001665714,0.017721664,2023.878243,0.218282225,2024.02459,0.146347378,41.73167882,-88.07251111,northern america,galliformes-domestic,1,0.95483871,NA,NA,NA,NA,NA,NA,#7bcc33,minor,0.151
nx_251111111,2_5_1_1_1_1_1_11,nx,2,481,7,0.005214365,0.001823068,0.012693142,2023.875057,0.213202621,2023.79726,0.077796923,41.73167882,-88.07251111,northern america,galliformes-domestic,1,0.95483871,NA,NA,NA,NA,NA,NA,#cc8d33,minor,0
nx_41117111,4_1_1_1_7_1_1_1,nx,4,491,5,0.003805372,6.28729e-4,0.016937776,2022.488518,0.734888516,2022.868493,0.379975004,54.35424879,-119.6044027,northern america,other-bird,1,0.50317478,9258.988,3403.849,203589.5,74844.87,NA,NA,#ccb399,major,0.534
nx_43117113,4_3_1_1_7_1_1_3,nx,1,494,2,0.004434978,5.73258e-4,0.020742672,2022.815684,0.582419354,2022.810959,0.004724798,54.58459408,-124.2884556,northern america,other-bird,1,0.820615982,NA,NA,NA,NA,NA,NA,#DDC63F,minor,0
nx_51111111,5_1_1_1_1_1_1_1,nx,1,501,3,0.003350948,NA,NA,2022.281072,0.795383329,2022.208219,0.072853297,39.88485271,-90.13598779,northern america,anseriformes-wild,1,1,NA,NA,NA,NA,NA,NA,#DEC336,minor,0
nx_61112111,6_1_1_1_2_1_1_1,nx,9,495,420,0.005617043,0.001309703,0.027072725,2022.095958,0.866245228,2022.336986,0.241028173,37.56154716,-84.4449285,northern america,anseriformes-wild,1,1,72303.28,32602.79,18999628,7610920,NA,NA,#99c0cc,minor,0.205
nx_21112111,2_1_1_1_2_1_1_1,nx,12,495,420,0.005617043,0.001309703,0.027072725,2022.095958,0.866245228,2022.268493,0.172535022,39.3335459,-87.00358063,northern america,anseriformes-wild,1,1,2946.902,2885.752,100658.8,217456.2,NA,NA,#33aecc,minor,0.183
nx_51112111,5_1_1_1_2_1_1_1,nx,35,495,420,0.005617043,0.001309703,0.027072725,2022.095958,0.866245228,2023.682192,1.586233652,41.06890804,-84.30563163,northern america,anseriformes-wild,1,0.995985401,5827.917,5545.288,846773.8,1068900,1,NA,#8bcc33,major,1.52
nx_64112111,6_4_1_1_2_1_1_1,nx,28,495,420,0.005617043,0.001309703,0.027072725,2022.095958,0.866245228,2023.452055,1.356096666,37.87360708,-83.78321151,northern america,anseriformes-wild,1,1,5843.357,1334.364,732886.1,127984.1,NA,NA,#33cc79,major,1.194
nx_41112111,4_1_1_1_2_1_1_1,nx,29,496,384,0.007765576,NA,NA,2022.16196,0.838992415,2023.90411,1.742149294,39.3335459,-87.00358063,northern america,anseriformes-wild,1,1,13119.46,6595.891,2753641,2422466,NA,NA,#66cc71,major,1.819
