,cluster_profile,profile_lab,clade,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Conti,number_hostType,group,colour
129,2_1_4_1_12_1_1_1,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#33cc59
130,2_1_51_31_1_52_19_7,NA,EA_nonGsGD,2,NA-environment,other,NA-environment - Europe,Europe,NA-environment,Europe,0.377447999999958,1,1,minor,#dcdcdc
131,2_1_58_35_6_46_21_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
132,2_1_79_1_1_1_1_1,NA,2.3.4.4b,1,wild-Suliformes,wild-ave,wild-Suliformes - Europe,Europe,wild-Suliformes,Europe,0,1,1,minor,#99ccb7
133,2_1_95_1_1_1_1_1,NA,2.3.4.4b,1,wild-Pelecaniformes,wild-ave,wild-Pelecaniformes - Europe,Europe,wild-Pelecaniformes,Europe,0,1,1,minor,#66ccc6
134,2_1_97_59_1_94_1_59,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
135,2_1_9_1_1_4_1_1,H5N1/2021/R4_Asia,2.3.4.4b,55,"domestic-Galliformes, wild-Anseriformes, domestic-Anseriformes, wild-Falconiformes","domestic-ave, wild-ave","domestic-Galliformes - Asia, wild-Anseriformes - Asia, domestic-Anseriformes - Asia, wild-Falconiformes - Asia",Asia,wild-Anseriformes,Asia,1.04099999999994,1,2,major,#339ecc
136,2_1_9_30_1_4_1_1,NA,2.3.4.4b,2,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#99abcc
137,30_1_2_1_1_40_1_1,NA,2.3.4.4b,3,"wild-Anseriformes, domestic-Galliformes","wild-ave, domestic-ave","wild-Anseriformes - Europe, domestic-Galliformes - Europe",Europe,wild-Anseriformes,Europe,0.0820000000001073,1,2,major,#6667cc
138,31_1_1_1_2_1_1_1,NA,2.3.4.4b,2,domestic-Galliformes,domestic-ave,domestic-Galliformes - North America,North America,domestic-Galliformes,North America,0,1,1,minor,#6633cc
