sci_name,class,order,family,primary_com_name
puma yagouaroundi,mammalia,carnivora,felidae,jaguarundi
orthogeomys underwoodi,mammalia,rodentia,geomyidae,underwood's pocket gopher
chodsigoa smithii,mammalia,soricomorpha,soricidae,smith's shrew
rhinolophus capensis,mammalia,chiroptera,rhinolophidae,cape horseshoe bat
ctenomys frater,mammalia,rodentia,ctenomyidae,reddish tuco-tuco
mico humilis,mammalia,primates,callitrichidae,black-crowned dwarf marmoset
prionodon pardicolor,mammalia,carnivora,viverridae,spotted linsang
sorex planiceps,mammalia,soricomorpha,soricidae,kashmir pygmy shrew
ctenomys dorbignyi,mammalia,rodentia,ctenomyidae,d'orbigny's tuco-tuco
miniopterus fraterculus,mammalia,chiroptera,miniopteridae,lesser long-fingered bat
petaurus abidi,mammalia,diprotodontia,petauridae,northern glider
genetta servalina,mammalia,carnivora,viverridae,servaline genet
miniopterus blepotis,mammalia,chiroptera,miniopteridae,javanese long-fingered bat
ctenomys boliviensis,mammalia,rodentia,ctenomyidae,bolivian tuco-tuco
rhinolophus darlingi,mammalia,chiroptera,rhinolophidae,darling's horseshoe bat
neomys teres,mammalia,soricomorpha,soricidae,transcaucasian water shrew
orthogeomys dariensis,mammalia,rodentia,geomyidae,darien pocket gopher
anthops ornatus,mammalia,chiroptera,hipposideridae,flower-faced bat
setifer setosus,mammalia,afrosoricida,tenrecidae,greater hedgehog tenrec
thylogale billardierii,mammalia,diprotodontia,macropodidae,tasmanian pademelon
rhinolophus chiewkweeae,mammalia,chiroptera,rhinolophidae,chiew kwee's horseshoe bat
hylochoerus meinertzhageni,mammalia,artiodactyla,suidae,giant forest hog
mustela africana,mammalia,carnivora,mustelidae,amazon weasel
antechinus mysticus,mammalia,dasyuromorphia,dasyuridae,buff-footed antechinus
macronycteris vittatus,mammalia,chiroptera,hipposideridae,striped leaf-nosed bat
dendrolagus spadix,mammalia,diprotodontia,macropodidae,lowlands tree-kangaroo
hipposideros lylei,mammalia,chiroptera,hipposideridae,shield-faced leaf-nosed bat
rhinolophus siamensis,mammalia,chiroptera,rhinolophidae,thai horseshoe bat
dasyurus viverrinus,mammalia,dasyuromorphia,dasyuridae,eastern quoll
mustela nivalis,mammalia,carnivora,mustelidae,least weasel
talpa caeca,mammalia,soricomorpha,talpidae,blind mole
microgale nasoloi,mammalia,afrosoricida,tenrecidae,nasolo's shrew tenrec
nycteris macrotis,mammalia,chiroptera,nycteridae,large-eared slit-faced bat
ratufa indica,mammalia,rodentia,sciuridae,indian giant squirrel
octomys mimax,mammalia,rodentia,octodontidae,viscacha rat
euroscaptor parvidens,mammalia,soricomorpha,talpidae,small-toothed mole
planigale ingrami,mammalia,dasyuromorphia,dasyuridae,long-tailed planigale
hipposideros rotalis,mammalia,chiroptera,hipposideridae,laotian leaf-nosed bat
nyctimene major,mammalia,chiroptera,pteropodidae,island tube-nosed fruit bat
myomimus personatus,mammalia,rodentia,gliridae,masked mouse-tailed dormouse
cryptotis endersi,mammalia,soricomorpha,soricidae,enders's small-eared shrew
dipodomys deserti,mammalia,rodentia,heteromyidae,desert kangaroo rat
